Company,Product Name,Prices,Display Size, Display Type,Memory Description
Vivo,"vivo X70 Pro (Cosmic Black, 128 GB)","₹ 44,999",6.56,Full HD,8 GB RAM | 128 GB ROM
Vivo,"vivo V23 Pro 5G (Stardust Black, 256 GB)","₹ 43,990",6.56,Full HD,12 GB RAM | 256 GB ROM
Realme,"realme GT NEO 3 (150W) (Sprint White, 256 GB)","₹ 42,999",6.7 ,Full HD,12 GB RAM | 256 GB ROM
Realme,"realme GT Neo 3 (150W - Thor Limited Edition) (Nitro Blue, 256 GB)","₹ 42,999",6.7 ,Full HD,12 GB RAM | 256 GB ROM
Realme,"realme GT NEO 3 (150W) (Asphalt Black, 256 GB)","₹ 42,999",6.7 ,Full HD,12 GB RAM | 256 GB ROM
Realme,"realme X50 Pro (Moss Green, 128 GB)","₹ 41,999",6.44,Full HD,8 GB RAM | 128 GB ROM
Realme,"realme X50 Pro (Rust Red, 128 GB)","₹ 41,999",6.44,Full HD,8 GB RAM | 128 GB ROM
Realme,"realme GT NEO 3 (150W) (Nitro Blue, 256 GB)","₹ 42,999",6.7 ,Full HD,12 GB RAM | 256 GB ROM
Apple,"APPLE iPhone 11 (Purple, 64 GB)","₹ 42,199",6.1 ,Liquid Retina ,64 GB ROM
Apple,"APPLE iPhone 11 (Green, 64 GB)","₹ 42,199",6.1 ,Liquid Retina ,64 GB ROM
Samsung,"SAMSUNG Galaxy A73 5G (Awesome Mint, 128 GB)","₹ 41,999",6.7 ,Full HD,8 GB RAM | 128 GB ROM
Asus,"ASUS ROG Phone II (Black, 128 GB)","₹ 40,999",6.59,Full HD,8 GB RAM | 128 GB ROM
Redmi,"REDMI Note 12 Pro+ 5G (Iceberg Blue, 256 GB)","₹ 32,999",6.67,Full HD,12 GB RAM | 256 GB ROM
Redmi,"REDMI Note 12 Pro+ 5G (Obsidian Black, 256 GB)","₹ 32,999",6.67,Full HD,12 GB RAM | 256 GB ROM
Vivo,"vivo V25 Pro 5G (Sailing Blue, 128 GB)","₹ 35,999",6.56,Full HD,8 GB RAM | 128 GB ROM
Samsung,"SAMSUNG Galaxy A34 5G (Awesome Silver, 128 GB)","₹ 30,999",6.6 ,Full HD,8 GB RAM | 128 GB ROM
Samsung,"SAMSUNG Galaxy S21 FE 5G (White, 128 GB)","₹ 39,999",6.4 ,Full HD,8 GB RAM | 128 GB ROM
Samsung,"SAMSUNG Galaxy S21 FE 5G (Graphite, 128 GB)","₹ 39,999",6.4 ,Full HD,8 GB RAM | 128 GB ROM
Samsung,"SAMSUNG Galaxy S21 FE 5G (Lavender, 128 GB)","₹ 39,999",6.4 ,Full HD,8 GB RAM | 128 GB ROM
Vivo,"vivo V25 Pro 5G (Sailing Blue, 256 GB)","₹ 33,449",6.56,Full HD,12 GB RAM | 256 GB ROM
Mi,"Mi 10T (Cosmic Black, 128 GB)","₹ 23,990",6.67,Full HD,6 GB RAM | 128 GB ROM
Mi,"Mi 10T (Lunar Silver, 128 GB)","₹ 37,999",6.67,Full HD,8 GB RAM | 128 GB ROM
Realme,"realme GT Neo 3T (Drifting White, 256 GB)","₹ 38,999",6.62,Full HD,8 GB RAM | 256 GB ROM
Samsung,"SAMSUNG Galaxy S21 FE 5G (Olive Green, 128 GB)","₹ 39,999",6.4 ,Full HD,8 GB RAM | 128 GB ROM
Poco,"POCO F4 5G (Night Black, 256 GB)","₹ 39,999",6.67,Full HD,12 GB RAM | 256 GB ROM
Oneplus,"OnePlus 7T (Glacier Blue, 256 GB)","₹ 35,999",6.55,Full HD,8 GB RAM | 256 GB ROM
Cellecor,Cellecor E6+,"₹ 1,236",1.8 ,Basic ,32 MB RAM | 32 MB ROM
Cellecor,Cellecor E10,"₹ 1,353",2.4 ,Basic ,32 MB RAM | 32 MB ROM
Oneplus,"OnePlus 7T (Frosted Silver, 128 GB)","₹ 35,921",6.55,Full HD,8 GB RAM | 128 GB ROM
Oneplus,"OnePlus 8 (Interstellar Glow, 256 GB)","₹ 38,990",6.55,Full HD,12 GB RAM | 256 GB ROM
Samsung,"SAMSUNG Galaxy A53 (Awesome White, 128 GB)","₹ 31,999",6.5 ,Full HD,6 GB RAM | 128 GB ROM
Realme,"realme GT Neo 3 (Sprint White, 256 GB)","₹ 38,999",6.7 ,Full HD,8 GB RAM | 256 GB ROM
Cellecor,Cellecor C60+,"₹ 1,293",1.8 ,Basic ,32 MB RAM | 32 MB ROM
Realme,"realme GT Neo 3 (Sprint White, 128 GB)","₹ 36,999",6.7 ,Full HD,8 GB RAM | 128 GB ROM
Realme,"realme GT Neo 3 (Asphalt Black, 128 GB)","₹ 36,999",6.7 ,Full HD,8 GB RAM | 128 GB ROM
Iqoo,"IQOO 9 5G (Alpha, 128 GB)","₹ 39,990",6.56,Full HD,8 GB RAM | 128 GB ROM
Oneplus,"OnePlus 8 Pro (Onyx Black, 128 GB)","₹ 37,990",6.78,Full HD,8 GB RAM | 128 GB ROM
Realme,"realme GT Neo 3 (Nitro Blue, 128 GB)","₹ 36,999",6.7 ,Full HD,8 GB RAM | 128 GB ROM
Vivo,"vivo X21 (Black, 128 GB)","₹ 36,990",6.28,Full HD,6 GB RAM | 128 GB ROM
Realme,"realme GT Neo 3 (Asphalt Black, 256 GB)","₹ 38,999",6.7 ,Full HD,8 GB RAM | 256 GB ROM
Apple,"APPLE iPhone 6 (Silver, 16 GB)","₹ 36,990",4.7 ,Retina HD,16 GB ROM
Lenovo,"Lenovo Z6 Pro (Black, 128 GB)","₹ 39,999",6.39,Full HD,8 GB RAM | 128 GB ROM
Realme,"realme GT Neo 3 (Nitro Blue, 256 GB)","₹ 38,999",6.7 ,Full HD,8 GB RAM | 256 GB ROM
Apple,"APPLE iPhone 8 (Silver, 64 GB)","₹ 39,900",4.7 ,Retina HD,64 GB ROM
Apple,"APPLE iPhone 8 (Gold, 64 GB)","₹ 39,900",4.7 ,Retina HD,64 GB ROM
Huawei,"Huawei P9 (Prestige Gold, 32 GB)","₹ 39,999",5.2 ,Full HD,3 GB RAM | 32 GB ROM 
Huawei,"Huawei P9 (Mystic Silver, 32 GB)","₹ 39,999",5.2 ,Full HD,3 GB RAM | 32 GB ROM 
Samsung,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)","₹ 10,699",6.6 ,Full HD,4 GB RAM | 128 GB ROM
Huawei,"Huawei P9 (Prestige Gold, 32 GB)","₹ 39,999",5.2 ,Full HD,3 GB RAM | 32 GB ROM 
Samsung,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)","₹ 10,699",6.6 ,Full HD,4 GB RAM | 128 GB ROM
Infinix,"Infinix SMART 7 (Night Black, 64 GB)","₹ 7,299",6.6 ,HD,4 GB RAM | 64 GB ROM 
Infinix,"Infinix SMART 7 (Azure Blue, 64 GB)","₹ 7,299",6.6 ,HD,4 GB RAM | 64 GB ROM 
Infinix,"Infinix HOT 30i (Diamond White, 64 GB)","₹ 7,999",6.6 ,HD,4 GB RAM | 64 GB ROM 
Samsung,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)","₹ 7,299",6.5 ,HD,4 GB RAM | 64 GB ROM 
Samsung,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)","₹ 9,699",6.6 ,Full HD,4 GB RAM | 64 GB ROM 
Poco,"POCO C50 (Royal Blue, 32 GB)","₹ 5,649",6.52,HD,2 GB RAM | 32 GB ROM 
Samsung,"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)","₹ 9,699",6.6 ,Full HD,4 GB RAM | 64 GB ROM 
Redmi,"REDMI A1+ (Light Blue, 32 GB)","₹ 6,599",6.52,HD,3 GB RAM | 32 GB ROM 
Samsung,"SAMSUNG Galaxy F13 (Sunrise Copper, 128 GB)","₹ 10,699",6.6 ,Full HD,4 GB RAM | 128 GB ROM
Redmi,"REDMI A1+ (Light Green, 32 GB)","₹ 6,599",6.52,HD,3 GB RAM | 32 GB ROM 
Redmi,"REDMI A1+ (Black, 32 GB)","₹ 6,599",6.52,HD,3 GB RAM | 32 GB ROM 
Motorola,"MOTOROLA e13 (Cosmic Black, 64 GB)","₹ 7,299",6.5 ,HD,4 GB RAM | 64 GB ROM 
Motorola,"MOTOROLA e32 (Eco Black, 64 GB)","₹ 7,999",6.5 ,HD,4 GB RAM | 64 GB ROM 
Redmi,"REDMI 10 (Sunrise Orange, 64 GB)","₹ 9,499",6.7 ,HD,4 GB RAM | 64 GB ROM 
